No,V/kV,Angle/бу,P/MVA,Q/MVA
0,12.66,0.0,1.363299,1.134657
1,12.645859,0.014509,-0.1,-0.06
2,12.573041,0.09457,-0.09,-0.04
3,12.556336,0.158048,-0.12,-0.08
4,12.543835,0.22168,-0.06,-0.03
5,12.510361,0.350536,-0.06,-0.02
6,12.515945,0.370286,-0.2,-0.1
7,12.537004,0.350423,-0.2,-0.1
8,12.595552,0.383384,-0.06,-0.02
9,12.660824,0.423059,-0.06,-0.02
10,12.672371,0.415158,-0.045,-0.03
11,12.695985,0.398142,-0.06,-0.035
12,12.720776,0.410804,-0.06,-0.035
13,12.736455,0.438538,-0.12,-0.08
14,12.759974,0.456114,-0.06,-0.01
15,12.791693,0.47346,-0.06,-0.02
16,12.86842,0.634925,-0.06,-0.02
17,12.908854,0.670274,-0.09,-0.04
18,12.646863,0.014402,-0.09,-0.04
19,12.670812,0.034398,-0.09,-0.04
20,12.672204,0.03489,-0.09,-0.04
21,12.682779,0.056479,-0.09,-0.04
22,12.528123,0.064241,-0.09,-0.05
23,12.444555,-0.022656,-0.42,-0.2
24,12.402904,-0.065442,-0.42,-0.2
25,12.503624,0.387137,-0.06,-0.025
26,12.495855,0.439018,-0.06,-0.025
27,12.408266,0.574818,-0.06,-0.02
28,12.347299,0.690168,-0.12,-0.07
29,12.325391,0.785397,-0.2,-0.6
30,12.322925,0.781876,-0.15,-0.07
31,12.327926,0.792604,-0.21,-0.1
32,12.344172,0.839919,-0.06,-0.04
33,12.674605,0.040116,0.2,0.1
34,12.503546,0.450773,0.4,0.2
35,12.707336,0.415218,0.6,0.3
36,12.686569,0.062186,0.2,0.1
37,12.351957,0.851964,0.4,0.2
38,12.920018,0.686792,0.6,0.3
