No,V/kV,Angle/бу,P/MVA,Q/MVA
0,12.66,0.0,0.852684,0.128056
1,12.653315,-0.010111,-0.1,-0.06
2,12.601319,-0.152561,-0.09,-0.04
3,12.577806,-0.222672,-0.12,-0.08
4,12.558213,-0.298539,-0.06,-0.03
5,12.525875,-0.533283,-0.06,-0.02
6,12.514338,-0.68629,-0.2,-0.1
7,12.488222,-0.747469,-0.2,-0.1
8,12.475278,-0.89077,-0.06,-0.02
9,12.468299,-1.026542,-0.06,-0.02
10,12.466874,-1.04606,-0.045,-0.03
11,12.465815,-1.085327,-0.06,-0.035
12,12.485252,-1.261182,-0.06,-0.035
13,12.50352,-1.322988,-0.12,-0.08
14,12.52612,-1.384844,-0.06,-0.01
15,12.554904,-1.458881,-0.06,-0.02
16,12.6389,-1.50521,-0.06,-0.02
17,12.677238,-1.559987,-0.09,-0.04
18,12.659472,0.035093,-0.09,-0.04
19,12.732344,0.451082,-0.09,-0.04
20,12.723538,0.432213,-0.09,-0.04
21,12.715571,0.412381,-0.09,-0.04
22,12.587024,-0.208551,-0.09,-0.05
23,12.568218,-0.328362,-0.42,-0.2
24,12.590541,-0.405345,-0.42,-0.2
25,12.529159,-0.549376,-0.06,-0.025
26,12.535406,-0.571316,-0.06,-0.025
27,12.57442,-0.622921,-0.06,-0.02
28,12.608799,-0.653095,-0.12,-0.07
29,12.632015,-0.690517,-0.2,-0.6
30,12.583378,-0.762536,-0.15,-0.07
31,12.572679,-0.78218,-0.21,-0.1
32,12.569364,-0.788768,-0.06,-0.04
33,12.744912,0.507676,1.0,-6.1e-05
34,12.688511,-1.565264,0.4,0.492439
35,12.66,-0.702606,1.0,1.210528
36,12.603258,-0.405345,0.5,0.5
