No,V/kV,Angle/бу,P/MVA,Q/MVA
0,12.66,0.0,2.599462,1.756999
1,12.634546,0.014264,-0.1,-0.06
2,12.511029,0.093841,-0.09,-0.04
3,12.456874,0.157428,-0.12,-0.08
4,12.405418,0.22153,-0.06,-0.03
5,12.276281,0.243014,-0.06,-0.02
6,12.25798,0.14495,-0.2,-0.1
7,12.239399,0.151294,-0.2,-0.1
8,12.231575,0.134705,-0.06,-0.02
9,12.229991,0.1272,-0.06,-0.02
10,12.230741,0.126378,-0.045,-0.03
11,12.23385,0.122646,-0.06,-0.035
12,12.259486,0.136334,-0.06,-0.035
13,12.275713,0.166168,-0.12,-0.08
14,12.300078,0.185095,-0.06,-0.01
15,12.332947,0.203789,-0.06,-0.02
16,12.412457,0.377378,-0.06,-0.02
17,12.454364,0.415365,-0.09,-0.04
18,12.631721,0.008808,-0.09,-0.04
19,12.621199,-0.014459,-0.09,-0.04
20,12.622597,-0.013963,-0.09,-0.04
21,12.633214,0.007796,-0.09,-0.04
22,12.465883,0.063211,-0.09,-0.05
23,12.38189,-0.024561,-0.42,-0.2
24,12.340028,-0.067784,-0.42,-0.2
25,12.261077,0.280764,-0.06,-0.025
26,12.24149,0.334379,-0.06,-0.025
27,12.152019,0.475917,-0.06,-0.02
28,12.089743,0.596207,-0.12,-0.07
29,12.067364,0.695547,-0.2,-0.6
30,12.064841,0.691878,-0.15,-0.07
31,12.069948,0.70307,-0.21,-0.1
32,12.086539,0.752425,-0.06,-0.04
33,12.637018,0.013548,0.2,0.1
34,12.094489,0.764989,0.4,0.2
35,12.465934,0.43311,0.6,0.3
