0,1,0.057525912,0.029324489
1,2,0.307595167,0.15666764
2,3,0.228356656,0.116299674
3,4,0.237777928,0.121103899
4,5,0.510994811,0.441115179
5,6,0.116798814,0.386084969
6,7,0.44386045,0.146684835
7,8,0.642643047,0.461704714
8,9,0.651378001,0.461704714
9,10,0.122663712,0.040555144
10,11,0.233597628,0.077241951
11,12,0.915922324,0.720633708
12,13,0.337917936,0.444796338
13,14,0.368739846,0.328184702
14,15,0.465635443,0.340039282
15,16,0.804239697,1.073775422
16,17,0.456713311,0.358133116
1,18,0.102323747,0.097644308
18,19,0.938508419,0.845668336
19,20,0.255497406,0.298485858
20,21,0.442300637,0.584805173
2,22,0.28151509,0.192356167
22,23,0.560284909,0.442425422
23,24,0.559037059,0.43743402
5,25,0.126656834,0.064513875
25,26,0.177319567,0.090281989
26,27,0.660736881,0.582559042
27,28,0.501760717,0.437122057
28,29,0.316642084,0.161284687
29,30,0.607952801,0.600840053
30,31,0.193728802,0.225798562
31,32,0.212758523,0.330805188
